и	and
в	at
не	not
он	he
на	on
я	I
что	what
тот	the
быть	be
с	from
а	a
весь	all
это	this
как	as
она	she is
по	by
но	but
они	they
к	to
у	at
ты	you
из	of
мы	we
за	behind
вы	you
так	So
же	the same
от	from
сказать	to tell
этот	this
который	which the
мочь	be able to
человек	human
о	about
один	one
еще	yet
бы	would
такой	such
только	only
себя	himself
свое	his
какой	which
когда	when
уже	already
для	for
вот	here
кто	Who
да	Yes
говорить	speak
год	year
знать	know
мой	my
до	before
или	or
если	if
время	time
рука	arm
нет	no
самый	most
ни	or
стать	become
большой	big
даже	even
другой	other
наш	our
свой	his
ну	Well
под	under
где	Where
дело	a business
есть	there is
сам	himself
раз	time
чтобы	that
два	two
там	there
чем	than
глаз	eye
жизнь	a life
первый	first
день	day
тут	here
во	in
ничто	nothing
потом	later
очень	highly
со	with
хотеть	to want
ли	whether
при	at
голова	head
надо	must
без	without
видеть	see
идти	go
теперь	Now
тоже	also
стоять	stand
друг	friend
дом	house
сейчас	now
можно	can
после	after
слово	word
здесь	here
думать	think
место	a place
спросить	ask
через	across
лицо	face
что	what
тогда	then
ведь	after all
хороший	good
каждый	each
новый	new
жить	live
должный	due
смотреть	look
почему	why
потому	because
сторона	side
просто	just
нога	leg
сидеть	sit
понять	understand
иметь	have
конечный	finite
делать	do
вдруг	all of a sudden
над	above
взять	take
никто	no one
сделать	make
дверь	Door
перед	before
нужный	needed
понимать	understand
казаться	seem
работа	Job
три	three
ваш	your
уж	really
земля	Earth
конец	end
несколько	several
час	hour
голос	vote
город	city
последний	last
пока	till
хорошо	OK
давать	give
вода	water
более	more
хотя	although
всегда	always
второй	second
куда	where
пойти	go
стол	table
ребенок	child
увидеть	see
сила	force
отец	father
женщина	female
машина	a car
случай	happening
ночь	night
сразу	at once
мир	peace
совсем	all
остаться	stay
об	about
вид	view
выйти	go out
дать	give
работать	work
любить	be in love
старый	old
почти	nearly
ряд	row
оказаться	prove
начало	Start
твой	is yours
вопрос	question
много	a lot of
война	war
снова	again
ответить	reply
между	between
подумать	think
опять	again
белый	white
деньги	money
значить	to mean
про	about
лишь	only
минута	minute
жена	wife
посмотреть	look
правда	true
главный	main
страна	a country
свет	shine
ждать	wait
мать	mother
будто	allegedly
никогда	never
товарищ	friend
дорога	road
однако	but
лежать	lie
именно	exactly
окно	window
никакой	no
найти	to find
писать	write
комната	room
Москва	Moscow
часть	part
вообще	at all
книга	book
маленький	little
улица	Street
решить	decide
далеко	long away
душа	soul
чуть	slightly
вернуться	return
утро	morning
некоторый	some
считать	consider
сколько	how
помнить	remember
вечер	evening
пол	floor
таки	nevertheless
получить	get
народ	people
плечо	shoulder
хоть	though
сегодня	Today
бог	God
вместе	together
взгляд	sight
ходить	walk
зачем	what for
советский	Soviet
русский	Russian
бывать	visit
полный	full
прийти	to come
палец	finger
Россия	Russia
любой	any
история	history
наконец	finally
мысль	think
узнать	discover
назад	ago
общий	overall
заметить	observe
словно	like
прошлый	last
уйти	escape
известный	famous
давно	long
слышать	hear
слушать	listen
бояться	fear
сын	a son
нельзя	must not
прямо	straight
долго	long
быстрыйбыстро	bystryybystro
лес	forest
похожий	similar
пора	it is time
пять	five
глядеть	look
оно	it
сесть	take
имя	name
ж	Well
разговор	conversation
тело	body
молодой	young
стена	wall
красный	red
читать	to read
право	right
старик	old man
ранний	early
хотеться	want
мама	Mama
оставаться	stay
высоко	high
путь	way
поэтому	so
совершенно	completely
кроме	Besides
тысяча	one thousand
месяц	month
брать	take
написать	write
целый	all
огромный	huge
начинать	start off
спина	back
настоящий	present
пусть	let
язык	language
точно	exactly
среди	among
чувствовать	feel
сердце	a heart
вести	lead
иногда	sometimes
мальчик	boy
успеть	in time
небо	sky
живой	alive
смерть	death
продолжать	continue
девушка	girl
образ	form
ко	to
забыть	to forget
вокруг	around
письмо	letter
власть	power
черный	the black
пройти	pass the
появиться	to appear
воздух	air
разный	different
выходить	go out
просить	ask
брат	brother
собственный	own
отношение	attitude
затем	then
пытаться	try
показать	show
вспомнить	remember
система	system
четыре	four
квартира	apartment
держать	Keep
также	also
любовь	love
солдат	soldier
откуда	from whence
чтоб	to
называть	call
третий	the third
хозяин	master
вроде	like
уходить	leave
подойти	come up
поднять	pick up
особенно	special
спрашивать	ask
начальник	Chief
оба	both
бросить	throw
школа	school
парень	guy
кровь	blood
двадцать	twenty
солнце	the sun
неделя	a week
послать	send
находиться	be
ребята	guys
поставить	put
встать	up
например	eg
шаг	step
мужчина	Man
равно	equally
нос	nose
мало	few
внимание	Attention
капитан	captain
ухо	an ear
туда	there
сюда	here
играть	play
следовать	to follow
рассказать	tell
великий	great
действительно	really
слишком	too
тяжёлый	heavy
спать	sleep
оставить	retain
войти	to come in
длинный	a long
чувство	feeling
молчать	to be silent
рассказывать	narrate
отвечать	answer
становиться	become
остановиться	stay
берег	Coast
семья	a family
искать	search
генерал	Gen.
момент	moment
десять	ten
начать	to begin
следующий	following
личный	private
труд	work
верить	believe
группа	Group
немного	Little
впрочем	however
видно	it is seen
являться	appear
муж	husband
разве	really
движение	motion
порядок	order
ответ	answer
тихо	quiet
знакомый	friend
газета	newspaper
помощь	help
сильный	strong
скорый	speedy
собака	dog
дерево	tree
снег	snow
сон	sleep
смысл	meaning
смочь	be able to
против	against
бежать	run
двор	court
форма	the form
простой	plain
приехать	come
иной	other
кричать	shout
возможность	opportunity
общество	society
зелёный	green
грудь	chest
угол	angle
открыть	open
происходить	take place
ладно	okay
черный	the black
век	century
карман	pocket
ехать	go
немец	German
наверное	probably
губа	lip
дядя	uncle
приходить	come
часто	often
домой	home
огонь	Fire
писатель	writer
армия	army
состояние	state
зуб	tooth
очередь	queue
кой	Coy
подняться	up
камень	a rock
гость	a guest
показаться	sound
ветер	wind
собираться	collect
попасть	get
принять	to accept
сначала	at first
либо	or
поехать	go
услышать	hear
уметь	be able to
случиться	happen
странный	strange
единственный	only
рота	company
закон	law
коротко	short
море	sea
добрый	kind
темный	dark
гора	mountain
врач	doctor
край	edge
стараться	try
лучший	best
река	river
военный	military
мера	measure
страшный	terrible
вполне	well
звать	call for
произойти	occur
вперед	forward
медленно	slow
возле	near
никак	in no way
заниматься	do
действие	act
довольно	pretty
вещь	thing
необходимый	necessary
ход	course
боль	pain
судьба	fate
причина	cause
положить	put
едва	barely
черта	feature
девочка	girl
легко	easily
волос	hair
купить	buy
номер	number
основной	main
широкий	wide
умереть	die
плохо	badly
глава	chapter
красивый	beautiful
серый	gray
пить	drink
командир	commander
обычно	usually
партия	the consignment
проблема	problem
страх	fear
проходить	pass
ясно	clear
снять	shoot
бумага	paper
герой	hero
пара	couple
государство	state
деревня	village
речь	speech
начаться	to begin
средство	means
положение	position
связь	communication
скоро	soon
небольшой	small
представлять	represent
завтра	tomorrow
объяснить	explained
пустой	empty
произнести	Pronounce
человеческий	human
нравиться	like
однажды	one day
мимо	by
иначе	otherwise
существовать	exist
класс	class
