и	and	und	et	y
в	at	in	dans	en
не	not	nicht	pas	no
он	he	er	il	lo
на	on	auf	sur	en
я	I	ich	Je	yo
что	what	was	que	que
тот	the	die	la	la
быть	to be	sein	être	ser
с	from	mit	avec	con
а	a	und	et	y
весь	all	alle	tous	todos
это	this	Das	il	lo
как	as	wie	comment	cómo
она	she	sie	elle	ella
по	by	auf	sur	en
но	but	aber	mais	pero
они	they	sie	ils	ellos
к	to	zu	à	a
у	at	bei	à	en
ты	you	Sie	vous	usted
из	of	von	à partir de	de
мы	we	wir	nous	nosotros
за	behind	für	pour	para
вы	you	Sie	vous	usted
так	So	so	si	tan
же	the same	die gleiche	le même	lo mismo
от	from	von	à partir de	de
сказать	to tell	sagen	dire	decir
этот	this	diese	cette	este
который	which the	die	qui	que
мочь	be able to	Lage,	pouvoir	poder
человек	human	Leute	personnes	personas
о	about	über	sur	acerca de
один	one	eins	un	uno
еще	yet	noch	plus	más
бы	would	würde	voudrais	haría
такой	such	so ein	une telle	tal
только	only	nur	seulement	solamente
себя	himself	selbst	lui-même	sí mismo
свое	his	seine	son	su
какой	which	welche	qui	que
когда	when	wann	quand	cuando
уже	already	bereits	déjà	ya
для	for	für	pour	para
вот	here	hier	ici	aquí
кто	Who	die	qui	que
да	Yes	ja	oui	sí
говорить	speak	sprechen	de parler	hablar
год	year	Jahr	année	año
знать	know	wissen	savoir	saber
мой	my	meine	ma	mi
до	before	zu	à	a
или	or	oder	ou	o
если	if	wenn	si	si
время	time	Zeit	temps	tiempo
рука	arm	Hand	main	mano
нет	no	Nein	aucun	no
самый	most	am meisten	plus	más
ни	or	oder	ou	o
стать	become	werden	devenir	convertirse en
большой	big	groß	grand	gran
даже	even	auch	même	incluso
другой	other	andere	autre	otro
наш	our	unsere	notre	nuestro
свой	his	seine	son	su
ну	well	gut	bien	bien
под	under	unter	sous	debajo
где	where	wo	où	donde
дело	a business	Deal	affaire	acuerdo
есть	there is	ist	est	es
сам	himself	selbst	lui-même	sí mismo
раз	time	Zeit	temps	tiempo
чтобы	that	dass	que	que
два	two	zwei	deux	dos
там	there	dort	là	hay
чем	than	als	que	de
глаз	eye	Auge	œil	ojo
жизнь	a life	Leben	vie	vida
первый	first	zuerst	première	primero
день	day	Tag	jour	día
тут	here	hier	ici	aquí
во	in	in	dans	en
ничто	nothing	nichts	rien	nada
потом	later	dann	puis	entonces
очень	highly	sehr	très	muy
со	with	mit	avec	con
хотеть	to want	wollen	vouloir	desear
ли	whether	ob	si	si
при	at	bei	à	en
голова	head	Kopf	tête	cabeza
надо	must	muss	il faut	necesario
без	without	ohne	sans	sin
видеть	see	sehen	voir	ver
идти	go	gehen	aller	ir
теперь	now	jetzt	maintenant	ahora
тоже	also	zu	trop	demasiado
стоять	stand	stehen	se tenir debout	estar de pie
друг	friend	Freund	ami	amigo
дом	house	Haus	maison	casa
сейчас	now	im Moment	tout de suite	ahora mismo
можно	can	können	boîte	lata
после	after	nach	après	después
слово	word	Wort	mot	palabra
здесь	here	hier	ici	aquí
думать	think	denken	penser	pensar
место	a place	Platz	place	lugar
спросить	ask	fragen	demander	preguntar
через	across	durch	par	a través de
лицо	face	Person	personne	persona
что	what	dass	que	que
тогда	then	dann	puis	entonces
ведь	after all	da	parce que	porque
хороший	good	gut	bon	bueno
каждый	each	jeder	chaque	cada
новый	new	neu	nouveau	nuevo
жить	live	leben	vivre	vivir
должный	due	richtig	approprié	apropiado
смотреть	look	aussehen	regarder	mirar
почему	why	warum	pourquoi	¿por qué
потому	because	deshalb	donc	por lo tanto
сторона	side	Party	partie	partido
просто	just	nur	juste	justo
нога	leg	Bein	jambe	pierna
сидеть	sit	sitzen	s'asseoir	sentarse
понять	understand	zu verstehen	comprendre	entender
иметь	have	haben	avoir	tener
конечный	finite	Finale	final	final
делать	do	machen	faire	hacer
