je	I	ich	je	yo
de	of	von	de	de
est	is	ist	est	es
ne ... pas	not	nicht	pas	no
le	the	die	le	la
vous	you (formal)	Sie	vous	usted
la	the	die	la	la
tu	you (informal)	du	tu	usted
que	than	dass	que	que
un	a	ein	un	una
il	he	es	il	lo
et	and	und	et	y
à	at	zu	à	a
a	at	hat	a	tiene
les	the	die	les	la
ce	this	diese	ce	este
en	in	in	en	en
on	one	man	on	uno
ça	it	es	ça	lo
une	a	ein	une	una
ai	have	haben	ai	tener
pour	for	für	pour	para
des	of the	der	des	unos o unas
moi	me	mir	moi	me
qui	who	die	qui	que
nous	we	uns	nous	nosotras
y	there	da	y	hay
mais	but	aber	mais	pero
me	me	mir	me	me
dans	in	in	dans	en
du	of	der	du	de los
bien	good	gut	bien	bien
elle	she	sie	elle	ella
si	if	wenn	si	si
tout	all	alle	tout	todo
plus	more	mehr	plus	más
non	no	nicht	non	no
mon	my	meine	mon	mi
suis	am	bin	suis	soy
te	you	Sie	te	usted
au	the	die	au	la
avec	with	mit	avec	con
va	go	werden	va	voluntad
oui	Yes	ja	oui	sí
toi	you	Sie	toi	usted
fait	fact	Tatsache	fait	hecho
ils	they	sie	ils	ellos
as	ace	As	as	as
être	to be	sein	être	estar
faire	make	machen	faire	hacer
se	himself	selbst	se	sí mismo
comme	as	als	comme	como
était	was	war	était	era
sur	sure	auf	sur	sobre
quoi	what	was	quoi	qué
ici	right here	hier	ici	aquí
sais	know	wissen	sais	saber
lui	him	es	lui	lo
veux	want	wollen	veux	desear
ma	my	meine	ma	mi
là	the	da	là	hay
rien	nothing	nichts	rien	nada
dit	said	sagte	dit	dicho
es	es	es	es	eS
où	where	wo	où	donde
votre	your	Ihre	votre	su
pourquoi	Why	warum	pourquoi	Por qué
sont	are	sind	sont	están
cette	this	diese	cette	esta
quand	when	wenn	quand	cuando
par	by	von	par	por
son	his	seine	son	su
ton	your	Ton	ton	tono
peux	can	können	peux	puedo
vais	am going to	werden	vais	voluntad
dire	say	sagen	dire	decir
alors	so	dann	alors	entonces
comment	how	wie	comment	cómo
avez	have	haben	avez	tener
bon	good	gut	bon	bueno
ou	or	oder	ou	o
très	very	sehr	très	muy
merci	thank you	danke	merci	gracias
ont	have	haben	ont	tener
même	same as	gleiche	même	incluso
jamais	never	je	jamais	jamas
aussi	also	auch	aussi	también
voir	see	Ansicht	voir	vista
chose	thing	Sache	chose	cosa
allez	going	gehen	allez	ir
tous	all	alle	tous	todos
deux	two	zwei	deux	dos
ces	these	diese	ces	estos
faut	must	muss	faut	necesario
sa	her	seine	sa	su
êtes	are	sind	êtes	son
été	summer	Sommer	été	verano
ta	your	Ihre	ta	su
fais	do	tun	fais	hacer
avoir	to have	haben	avoir	tener
peut	can	können	peut	puede
autre	other	andere	autre	otro
encore	again	wieder	encore	todavia
maintenant	now	jetzt	maintenant	Ahora
peu	little	bisschen	peu	poco
mes	my	meine	mes	mi
vraiment	really	wirklich	vraiment	realmente
temps	time	Zeit	temps	tiempo
notre	our	unsere	notre	nuestro
toujours	always	immer	toujours	siempre
vie	life	Leben	vie	vida
sans	without	ohne	sans	sin
juste	just	nur	juste	justo, apenas
oh	Oh	oh	oh	ay
