the	the	das	la	el	тот
of	of	von	de	de	из
and	and	und	et	y	а также
to	to	nach	à	a	к
a	a	ein	une	un	
in	in	im	dans	en	в
for	for	für	pour	para	для
is	is	ist	est	es	является
on	on	auf	sur	en	на
that	that	dass	cette	ese	что
by	by	durch	par	por	от
this	this	Dies	ce	esta	это
with	with	mit	avec	con	с
I	I	ich	je	yo	я
you	you	du / Sie	toi / vous	tú	вы
it	it	es	il	eso	Это
not	not	nicht	ne pas	no	не
or	or	oder	ou	o	или
be	be	Sein	être	ser	быть
are	are	sind	sont	son	находятся
from	from	von	de	de	из
at	at	beim	à	a	в
as	as	wie	comme	como	в виде
your	your	Ihre / deine	votre / ton	tu	ваш
all	all	alle	tout	todas	все
have	have	haben	avoir	tener	иметь
new	new	neu	Nouveau	nuevo	новый
more	more	mehr	plus	Más	Больше
an	an	ein	un	un	
was	was	war	était	estaba	был
we	we	wir	nous	nosotros	мы
will	will	werden	volonté	será	будем
home	home	Zuhause	maison	casa	Главная
can	can	kann	pouvez	poder	Можно
us	us	uns	nous	nos	нас
about	about	überprüfung	sur	acerca de	около
if	if	ob	si	Si	если
page	page	Seite	page	página	страница
my	my	meine	mon	mi	мой
has	has	hat	a	tiene	имеет
search	search	Suche	chercher	buscar	поиск
free	free	frei	gratuit	gratis	свободно
but	but	aber	mais	pero	но
our	our	unser	notre	nuestra	наш
one	one	eins	un	uno	один
other	other	andere	autre	otro	Другие
do	do	machen	faire	hacer	делать
no	no	Nein	non	no	нет
information	information	Information	information	información	Информация
time	time	Zeit	temps	hora	время
they	they	sie	ils	ellos	Oни
site	site	Standort	site	sitio	сайт
he	he	er	il	él	он
up	up	oben	en haut	arriba	вверх
may	may	kann	mai	mayo	май
what	what	Was	quelle	qué	какие
which	which	welche	lequel	cual	который
their	their	ihr	leur	su	их
news	news	Nachrichten	nouvelles	Noticias	Новости
out	out	aus	en dehors	fuera	вне
use	use	benutzen	utilisation	utilizar	использование
any	any	irgendein	tout	alguna	Любые
there	there	Dort	Là	ahí	там
see	see	sehen	voir	ver	видеть
only	only	nur	seulement	solamente	только
so	so	damit	alors	asi que	так
his	his	seine	son	su	его
when	when	wann	quand	cuando	когда
contact	contact	Kontakt	contact	contacto	контакт
here	here	Hier	ici	aquí	Вот
business	business	Geschäft	Entreprise	negocio	бизнес
who	who	Wer	qui	quien	кто
web	web	Netz	toile	web	Web
also	also	ebenfalls	aussi	además	также
now	now	jetzt	à présent	ahora	Теперь
help	help	Hilfe	Aidez-moi	ayuda	Помогите
get	get	bekommen	Obtenez	obtener	получить
pm	pm	pm	pm	pm	вечера
view	view	Aussicht	vue	ver	Посмотреть
online	online	online	en ligne	en línea	онлайн
first	first	zuerst	premier	primero	первый
am	am	bin	un m	a.m	ам
been	been	gewesen	était	estado	было
would	would	würde	aurait	haría	бы
how	how	Wie	Comment	cómo	как
were	were	wurden	ont été	fueron	мы
me	me	mich	moi	yo	меня
services	services	Dienstleistungen	prestations de service	servicios	Сервисы
some	some	etwas	certains	algunos	некоторые
these	these	diese	celles-ci	estas	эти
click	click	klicken	cliquez	hacer clic	щелчок
its	its	seine	il est	sus	его
like	like	mögen	comme	me gusta	как
service	service	Bedienung	un service	Servicio	оказание услуг
than	than	als	que	que	чем
find	find	finden	trouver	encontrar	найти
price	price	Preis	prix	precio	цена
date	date	Datum	rendez-vous amoureux	fecha	Дата
back	back	Zurück	arrière	espalda	назад
top	top	oben	sommet	parte superior	Вверх
people	people	Menschen	gens	gente	люди
had	had	hätten	avait	tenido	имел
list	list	Liste	liste	lista	список
name	name	Name	prénom	nombre	имя
just	just	gerade	juste	sólo	просто
over	over	zu Ende	plus de	encima	над
state	state	Bundesland	Etat	estado	государство
year	year	Jahr	an	año	год
day	day	Tag	journée	día	день
into	into	in	dans	dentro	в
email	email	Email	email	correo electrónico	Эл. адрес
two	two	zwei	deux	dos	два
health	health	Gesundheit	santé	salud	здоровье
world	world	Welt	monde	mundo	Мир
Re:	Re:	Awt:	Ré:	Re:	Re:
next	next	Nächster	prochain	siguiente	следующий
used	used	benutzt	utilisé	usado	используемый
go	go	gehen	aller	ir	идти
work	work	Arbeit	travail	trabajo	Работа
last	last	letzte	dernier	último	последний
most	most	die meisten	les plus	más	большинство
products	products	Produkte	Produits	productos	продукты
music	music	Musik	la musique	música	Музыка
buy	buy	kaufen	Acheter	comprar	купить
data	data	Daten	données	datos	данные
make	make	machen	faire	hacer	делать
them	them	Sie	leur	ellos	их
should	should	sollte	devrait	debería	должен
product	product	Produkt	produit	producto	продукт
system	system	System	système	sistema	система
post	post	Post	poster	enviar	после
her	her	ihr	sa	su	ее
city	city	Stadt	ville	ciudad	город
add	add	hinzufügen	ajouter	añadir	Добавить
policy	policy	Politik	politique	política	политика
number	number	Nummer	nombre	número	номер
such	such	eine solche	tel	tal	такие
please	please	Bitte	S'il vous plaît	Por favor	пожалуйста
